kata,sentimen
keren,positif
bagus,positif
lancar,positif
parah,negatif
buruk,negatif
lag,negatif
dark,negatif
kendala,negatif
makasi,positif
terimakasih,positif
noob,negatif
newbie,netral
sampah,negatif
sampa,negatif
cacat,negatif
musuh,netral
patah,negatif
gila,negatif
tolong,netral
bug,negatif
hijau,positif
merah,negatif
berat,negatif
lambat,negatif
kecewa,negatif
lose,negatif
emosi,negatif
like,positif
suka,positif
bangsat,negatif
bangke,negatif
guna,positif
lama,negatif
red,negatif
enak,positif
masalah,negatif
masala,negatif
kasih,positif
cape,negatif
adil,positif
netral,netral
negatif,negatif
positif,positif
ganggu,negatif
habis,negatif
gajelas,negatif
percuma,negatif
report,negatif
ban,negatif
baned,negatif
imbang,netral
hormat,positif
terima,positif
joki,negatif
cupu,negatif
bot,negatif
asyik,positif
seru,positif
mantap,positif
mati,negatif
kotor,negatif
rusak,negatif
