"kata","kata_dasar","pos"
"berantakan","rantak","kata sifat"
"bercerita","cerita","kata kerja"
"bermain","main","kata kerja"
"berlari","lari","kata kerja"
"berjalan","jalan","kata kerja"
"berpikir","pikir","kata kerja"
"bertanya","tanya","kata kerja"
"bermasalah","salah","kata kerja"
"buatkan","buat","kata kerja"
"berbuat","buat","kata kerja"
"bermanfaat","manfaat","kata kerja"
"bertahan","tahan","kata kerja"
"berkontribusi","kontribusi","kata kerja"
"berikutnya","ikut","kata keterangan"
"cheater","cheat","kata benda"
"dibilang","bilang","kata kerja"
"dilarang","larang","kata kerja"
"disayangkan","sayang","kata kerja"
"dikarenakan","karena","kata kerja"
"digendong","gendong","kata kerja"
"diperbaiki","baik","kata kerja"
"digame","game","kata benda"
"ditempatkan","tempat","kata kerja"
"ditengah","tengah","kata keterangan"
"gamenya","game","kata benda"
"gemnya","game","kata benda"
"gunanya","guna","kata benda"
"kebanyakan","banyak","kata benda"
"kelebihan","lebih","kata benda"
"kemenangan","menang","kata benda"
"kekalahan","kalah","kata benda"
"keseimbangan","imbang","kata benda"
"kendalanya","kendala","kata benda"
"lawannya","lawan","kata benda"
"masalahnya","masalah","kata benda"
"melarang","larang","kata kerja"
"melambat","lambat","kata kerja"
"membaik","baik","kata kerja"
"memburuk","buruk","kata kerja"
"membuat","buat","kata kerja"
"memuat","muat","kata kerja"
"memberi","beri","kata kerja"
"membayar","bayar","kata kerja"
"mementingkan","penting","kata kerja"
"mempermudah","mudah","kata kerja"
"mencocokan","cocok","kata kerja"
"mengatur","atur","kata kerja"
"menantang","tantang","kata kerja"
"mengatasi","atasi","kata kerja"
"menjadi","jadi","kata kerja"
"mengajukan","aju","kata kerja"
"mengalami","alami","kata kerja"
"mendukung","dukung","kata kerja"
"menikmati","nikmat","kata kerja"
"mendapatkan","dapat","kata kerja"
"menyebabkan","sebab","kata kerja"
"menyambungkan","sambung","kata kerja"
"merupakan","rupa","kata kerja"
"musuhnya","musuh","kata benda"
"sarankan","saran","kata kerja"
"secepatnya","cepat","kata keterangan"
"seimbang","imbang","kata sifat"
"semacamnya","macam","kata keterangan"
"sekalinya","sekali","kata keterangan"
"settingan","atur","kata benda"
"setingan","atur","kata benda"
"ngeframe","frame","kata kerja"
"ngefreeze","freeze","kata kerja"
"ngefreze","freeze","kata kerja"
"ngebak","bug","kata kerja"
"ngebag","bug","kata kerja"
"ngebug","bug","kata kerja"
"ngelag","lag","kata kerja"
"ngeleg","lag","kata kerja"
"ngelek","lag","kata kerja"
"ngetroll","troll","kata kerja"
"ngetrol","troll","kata kerja"
"ngetrooll","troll","kata kerja"
"ngetrool","troll","kata kerja"
"ngehabisin","habis","kata kerja"
"pasangkan","pasang","kata kerja"
"perhitungan","hitung","kata benda"
"pemain","main","kata benda"
"pemainnya","main","kata benda"
"pemilihan","pilih","kata benda"
"permainan","main","kata benda"
"pencocokan","cocok","kata benda"
"pengaturan","atur","kata benda"
"pengurangan","kurang","kata benda"
"penyebabnya","sebab","kata benda"
"pengalaman","alam","kata benda"
"pertandingan","tanding","kata benda"
"servernya","server","kata benda"
"sesuaikan","sesuai","kata kerja"
"sistemnya","sistem","kata benda"
"systemnya","sistem","kata benda"
"system","sistem","kata benda"
"tambahan","tambah","kata benda"
"tantangan","tantang","kata benda"
"teamnya","tim","kata benda"
"terkadang","kadang","kata keterangan"
"ternyata","nyata","kata keterangan"
"terganggu","ganggu","kata kerja"
"teruntuk","untuk","kata kerja"
"trol","troll","kata benda"
"turunkan","turun","kata kerja"
"tolonglah","tolong","kata kerja"
